id,hotel_id,room_id,image_path,is_cover,sort_order
1,1,,/media/1.jpg,true,0
2,1,,/media/2.jpg,false,1
3,2,,/media/3.jpg,true,0
4,2,,/media/4.jpg,false,1
5,3,,/media/5.jpg,true,0
6,3,,/media/6.jpg,false,1
7,5,,/media/7.jpg,true,0
8,5,,/media/8.jpg,false,1
9,6,,/media/9.jpg,true,0
10,6,,/media/10.jpg,false,1
11,7,,/media/11.jpg,true,0
12,7,,/media/12.jpg,false,1
13,9,,/media/13.jpg,true,0
14,9,,/media/14.jpg,false,1
15,10,,/media/15.jpg,true,0
16,10,,/media/16.jpg,false,1
17,11,,/media/17.jpg,true,0
18,11,,/media/18.jpg,false,1
19,1,1,/media/19.jpg,true,0
20,1,2,/media/20.jpg,true,0
21,1,3,/media/21.jpg,true,0
22,2,4,/media/22.jpg,true,0
23,2,6,/media/23.jpg,true,0
24,3,7,/media/24.jpg,true,0
25,3,8,/media/25.jpg,true,0
26,3,9,/media/26.jpg,true,0
27,4,10,/media/27.jpg,true,0
28,4,12,/media/28.jpg,true,0
29,5,13,/media/29.jpg,true,0
30,5,15,/media/30.jpg,true,0
31,6,16,/media/31.jpg,true,0
32,6,17,/media/32.jpg,true,0
33,6,18,/media/33.jpg,true,0
34,7,19,/media/34.jpg,true,0
35,7,20,/media/35.jpg,true,0
36,7,21,/media/36.jpg,true,0
37,8,22,/media/37.jpg,true,0
38,8,24,/media/38.jpg,true,0
39,9,25,/media/39.jpg,true,0
40,9,26,/media/40.jpg,true,0
41,9,27,/media/41.jpg,true,0
42,10,28,/media/42.jpg,true,0
43,10,29,/media/43.jpg,true,0
44,10,30,/media/44.jpg,true,0
45,11,31,/media/45.jpg,true,0
46,11,32,/media/46.jpg,true,0
47,11,33,/media/47.jpg,true,0
48,12,34,/media/48.jpg,true,0
49,12,36,/media/49.jpg,true,0
